date,id,name,source,today_confirmed,today_deaths,today_hospitalised_patients_with_symptoms,today_intensive_care,today_new_confirmed,today_new_deaths,today_new_hospitalised_patients_with_symptoms,today_new_intensive_care,today_new_open_cases,today_new_recovered,today_new_total_hospitalised_patients,today_open_cases,today_recovered,today_total_hospitalised_patients,today_vs_yesterday_confirmed,today_vs_yesterday_deaths,today_vs_yesterday_hospitalised_patients_with_symptoms,today_vs_yesterday_intensive_care,today_vs_yesterday_open_cases,today_vs_yesterday_recovered,today_vs_yesterday_total_hospitalised_patients,yesterday_confirmed,yesterday_deaths,yesterday_hospitalised_patients_with_symptoms,yesterday_intensive_care,yesterday_open_cases,yesterday_recovered,yesterday_total_hospitalised_patients
2020-03-20,castilla-la_mancha,Castilla-La Mancha,John Hopkins University,1423,84,0,65,379,42,0,28,326.0,11.0,322,1301,38.0,635,0.3630268199233717,1.0,,0.7567567567567568,0.3343589743589743,0.40740740740740744,1.0287539936102235,1044,42,0,37,975,27.0,313
2020-03-20,navarra,Navarra,John Hopkins University,664,9,0,25,110,4,0,6,106.0,,50,654,1.0,222,0.1985559566787003,0.8,,0.3157894736842106,0.1934306569343065,,0.2906976744186047,554,5,0,19,548,1.0,172
2020-03-20,melilla,Melilla,John Hopkins University,25,0,0,1,1,0,0,0,1.0,,3,25,,8,0.04166666666666674,,,0.0,0.04166666666666674,,0.6000000000000001,24,0,0,1,24,,5
2020-03-20,canarias,Canarias,John Hopkins University,348,7,0,29,61,3,0,4,58.0,,24,332,9.0,139,0.21254355400696867,0.75,,0.15999999999999992,0.2116788321167884,,0.20869565217391295,287,4,0,25,274,9.0,115
2020-03-20,baleares,Baleares,John Hopkins University,246,4,0,14,43,2,0,4,40.0,1.0,12,231,11.0,60,0.21182266009852224,1.0,,0.3999999999999999,0.2094240837696335,0.10000000000000009,0.25,203,2,0,10,191,10.0,48
2020-03-20,murcia,Murcia,John Hopkins University,240,1,0,14,36,1,0,3,35.0,,14,238,1.0,61,0.17647058823529416,,,0.2727272727272727,0.17241379310344818,,0.2978723404255319,204,0,0,11,203,1.0,47
2020-03-20,cataluna,Cataluña,John Hopkins University,4203,122,0,271,933,29,0,96,859.0,45.0,687,3889,192.0,1681,0.28532110091743124,0.31182795698924726,,0.5485714285714285,0.28349834983498345,0.30612244897959173,0.6911468812877264,3270,93,0,175,3030,147.0,994
2020-03-20,c_valenciana,C. Valenciana,John Hopkins University,1363,50,0,129,258,17,0,28,236.0,5.0,170,1288,25.0,947,0.23348416289592766,0.5151515151515151,,0.27722772277227725,0.2243346007604563,0.25,0.21879021879021887,1105,33,0,101,1052,20.0,777
2020-03-20,asturias,Asturias,John Hopkins University,524,7,0,18,95,3,0,5,88.0,4.0,26,501,16.0,155,0.22144522144522139,0.75,,0.3846153846153846,0.21307506053268765,0.33333333333333326,0.20155038759689914,429,4,0,13,413,12.0,129
2020-03-20,galicia,Galicia,John Hopkins University,739,9,0,40,161,4,0,6,156.0,1.0,30,724,6.0,168,0.2785467128027681,0.8,,0.17647058823529416,0.27464788732394374,0.19999999999999996,0.21739130434782616,578,5,0,34,568,5.0,138
2020-03-20,madrid,Madrid,John Hopkins University,15722,804,0,767,2323,176,0,89,1791.0,356.0,1050,13376,1542.0,7388,0.17337114710052992,0.28025477707006363,,0.1312684365781711,0.15459646094087187,0.300168634064081,0.1656674029662355,13399,628,0,678,11585,1186.0,6338
2020-03-20,andalucia,Andalucía,John Hopkins University,1515,40,0,53,228,10,0,15,218.0,,104,1439,36.0,605,0.17715617715617715,0.33333333333333326,,0.39473684210526305,0.17854217854217858,,0.2075848303393213,1287,30,0,38,1221,36.0,501
2020-03-20,castilla_y_leon,Castilla y León,John Hopkins University,1466,55,0,96,319,12,0,21,290.0,17.0,153,1357,54.0,629,0.27811682650392333,0.2790697674418605,,0.28,0.2717900656044987,0.45945945945945943,0.3214285714285714,1147,43,0,75,1067,37.0,476
2020-03-20,ceuta,Ceuta,John Hopkins University,5,0,0,0,0,0,0,0,,,0,5,,0,0.0,,,,,,,5,0,0,0,5,,0
2020-03-20,aragon,Aragón,John Hopkins University,424,22,0,33,64,5,0,5,59.0,,65,402,,192,0.1777777777777778,0.2941176470588236,,0.1785714285714286,0.1720116618075802,,0.5118110236220472,360,17,0,28,343,,127
2020-03-20,pais_vasco,País Vasco,John Hopkins University,1725,85,0,71,260,14,0,18,102.0,144.0,104,1475,165.0,654,0.1774744027303754,0.19718309859154926,,0.3396226415094339,0.07428987618353977,6.857142857142857,0.1890909090909092,1465,71,0,53,1373,21.0,550
2020-03-20,la_rioja,La Rioja,John Hopkins University,564,15,0,17,67,8,0,2,54.0,5.0,6,531,18.0,128,0.13480885311871238,1.1428571428571428,,0.1333333333333333,0.1132075471698113,0.3846153846153846,0.049180327868852514,497,7,0,15,477,13.0,122
2020-03-20,extremadura,Extremadura,John Hopkins University,354,12,0,6,57,2,0,2,54.0,1.0,21,334,8.0,65,0.19191919191919182,0.19999999999999996,,0.5,0.19285714285714284,0.1428571428571428,0.4772727272727273,297,10,0,4,280,7.0,44
2020-03-20,cantabria,Cantabria,John Hopkins University,215,2,0,9,71,1,0,2,69.0,1.0,31,202,11.0,92,0.4930555555555556,1.0,,0.2857142857142858,0.518796992481203,0.10000000000000009,0.5081967213114753,144,1,0,7,133,10.0,61
2020-03-21,castilla-la_mancha,Castilla-La Mancha,John Hopkins University,1819,112,0,76,396,28,0,11,358.0,10.0,203,1659,48.0,838,0.27828531271960655,0.33333333333333326,,0.1692307692307693,0.275172943889316,0.26315789473684204,0.31968503937007875,1423,84,0,65,1301,38.0,635
2020-03-21,navarra,Navarra,John Hopkins University,794,14,0,30,130,5,0,5,122.0,3.0,66,776,4.0,288,0.19578313253012047,0.5555555555555556,,0.19999999999999996,0.18654434250764518,3.0,0.29729729729729737,664,9,0,25,654,1.0,222
2020-03-21,melilla,Melilla,John Hopkins University,25,0,0,1,0,0,0,0,,,4,25,,12,0.0,,,0.0,,,0.5,25,0,0,1,25,,8
2020-03-21,canarias,Canarias,John Hopkins University,414,9,0,32,66,2,0,3,64.0,,11,398,7.0,150,0.18965517241379315,0.2857142857142858,,0.10344827586206895,0.19161676646706582,,0.07913669064748197,348,7,0,29,334,7.0,139
2020-03-21,baleares,Baleares,John Hopkins University,331,4,0,14,85,0,0,0,79.0,6.0,19,310,17.0,79,0.3455284552845528,0.0,,0.0,0.34199134199134207,0.5454545454545454,0.31666666666666665,246,4,0,14,231,11.0,60
2020-03-21,murcia,Murcia,John Hopkins University,296,1,0,16,56,0,0,2,56.0,,17,294,1.0,78,0.2333333333333334,0.0,,0.1428571428571428,0.23529411764705888,,0.278688524590164,240,1,0,14,238,1.0,61
2020-03-21,cataluna,Cataluña,John Hopkins University,5046,143,0,290,843,21,0,19,767.0,55.0,236,4656,247.0,1917,0.2005710206995004,0.1721311475409837,,0.07011070110701101,0.19722293648752887,0.28645833333333326,0.1403926234384294,4203,122,0,271,3889,192.0,1681
2020-03-21,c_valenciana,C. Valenciana,John Hopkins University,1604,69,0,152,241,19,0,23,217.0,5.0,189,1505,30.0,1136,0.1768158473954513,0.3799999999999999,,0.17829457364341095,0.1684782608695652,0.19999999999999996,0.19957761351636738,1363,50,0,129,1288,25.0,947
2020-03-21,asturias,Asturias,John Hopkins University,569,12,0,22,45,5,0,4,36.0,4.0,25,537,20.0,180,0.08587786259541974,0.7142857142857142,,0.22222222222222232,0.0718562874251496,0.25,0.16129032258064524,524,7,0,18,501,16.0,155
2020-03-21,galicia,Galicia,John Hopkins University,915,12,0,50,176,3,0,10,163.0,10.0,59,887,16.0,227,0.23815967523680648,0.33333333333333326,,0.25,0.22513812154696122,1.6666666666666665,0.3511904761904763,739,9,0,40,724,6.0,168
2020-03-21,madrid,Madrid,John Hopkins University,17397,1021,0,834,1675,217,0,67,1101.0,357.0,1053,14477,1899.0,8441,0.10653860831955231,0.2699004975124377,,0.08735332464146017,0.0823116028708133,0.23151750972762652,0.142528424472117,15722,804,0,767,13376,1542.0,7388
2020-03-21,andalucia,Andalucía,John Hopkins University,1725,47,0,55,210,7,0,2,201.0,2.0,119,1640,38.0,724,0.13861386138613851,0.17500000000000004,,0.037735849056603765,0.13968033356497567,0.05555555555555558,0.1966942148760331,1515,40,0,53,1439,36.0,605
2020-03-21,castilla_y_leon,Castilla y León,John Hopkins University,1744,74,0,111,278,19,0,15,224.0,35.0,169,1581,89.0,798,0.18963165075034105,0.34545454545454546,,0.15625,0.16507000736919686,0.6481481481481481,0.2686804451510334,1466,55,0,96,1357,54.0,629
2020-03-21,ceuta,Ceuta,John Hopkins University,5,0,0,0,0,0,0,0,,,0,5,,0,0.0,,,,,,,5,0,0,0,5,,0
2020-03-21,aragon,Aragón,John Hopkins University,532,24,0,45,108,2,0,12,103.0,3.0,49,505,3.0,241,0.2547169811320755,0.09090909090909083,,0.36363636363636354,0.2562189054726369,,0.25520833333333326,424,22,0,33,402,,192
2020-03-21,pais_vasco,País Vasco,John Hopkins University,2097,97,0,81,372,12,0,10,309.0,51.0,334,1784,216.0,988,0.21565217391304348,0.14117647058823524,,0.14084507042253525,0.20949152542372884,0.3090909090909091,0.510703363914373,1725,85,0,71,1475,165.0,654
2020-03-21,la_rioja,La Rioja,John Hopkins University,654,18,0,17,90,3,0,0,87.0,,6,618,18.0,134,0.15957446808510634,0.19999999999999996,,0.0,0.16384180790960445,,0.046875,564,15,0,17,531,18.0,128
2020-03-21,extremadura,Extremadura,John Hopkins University,384,14,0,8,30,2,0,2,28.0,,22,362,8.0,87,0.0847457627118644,0.16666666666666674,,0.33333333333333326,0.08383233532934131,,0.33846153846153837,354,12,0,6,334,8.0,65
2020-03-21,cantabria,Cantabria,John Hopkins University,282,5,0,9,67,3,0,0,64.0,,24,266,11.0,116,0.31162790697674425,1.5,,0.0,0.3168316831683169,,0.26086956521739135,215,2,0,9,202,11.0,92
2020-03-22,castilla-la_mancha,Castilla-La Mancha,John Hopkins University,2078,145,0,142,259,33,0,66,223,3.0,709,1882,51.0,1547,0.14238592633315017,0.2946428571428572,,0.868421052631579,0.13441832429174205,0.0625,0.8460620525059666,1819,112,0,76,1659,48.0,838
2020-03-22,navarra,Navarra,John Hopkins University,886,24,0,40,92,10,0,10,79,3.0,51,855,7.0,339,0.11586901763224189,0.7142857142857142,,0.33333333333333326,0.10180412371134029,0.75,0.17708333333333326,794,14,0,30,776,4.0,288
2020-03-22,melilla,Melilla,John Hopkins University,28,0,0,1,3,0,0,0,3,,0,28,,12,0.1200000000000001,,,0.0,0.1200000000000001,,0.0,25,0,0,1,25,,12
2020-03-22,canarias,Canarias,John Hopkins University,481,11,0,32,67,2,0,0,65,,22,463,7.0,172,0.16183574879227058,0.22222222222222232,,0.0,0.16331658291457285,,0.14666666666666672,414,9,0,32,398,7.0,150
2020-03-22,baleares,Baleares,John Hopkins University,400,10,0,27,69,6,0,13,62,1.0,8,372,18.0,87,0.2084592145015105,1.5,,0.9285714285714286,0.19999999999999996,0.05882352941176472,0.10126582278481022,331,4,0,14,310,17.0,79
2020-03-22,murcia,Murcia,John Hopkins University,345,2,0,23,49,1,0,7,48,,2,342,1.0,80,0.16554054054054057,1.0,,0.4375,0.16326530612244894,,0.02564102564102555,296,1,0,16,294,1.0,78
2020-03-22,cataluna,Cataluña,John Hopkins University,5747,199,0,308,701,56,0,18,490,155.0,241,5146,402.0,2158,0.13892191835116918,0.39160839160839167,,0.06206896551724128,0.10524054982817876,0.6275303643724697,0.12571726656233695,5046,143,0,290,4656,247.0,1917
2020-03-22,c_valenciana,C. Valenciana,John Hopkins University,1901,94,0,181,297,25,0,29,266,6.0,175,1771,36.0,1311,0.1851620947630923,0.3623188405797102,,0.19078947368421062,0.17674418604651154,0.19999999999999996,0.154049295774648,1604,69,0,152,1505,30.0,1136
2020-03-22,asturias,Asturias,John Hopkins University,621,22,0,25,52,10,0,3,41,1.0,30,578,21.0,210,0.0913884007029877,0.8333333333333333,,0.13636363636363646,0.07635009310986973,0.050000000000000044,0.16666666666666674,569,12,0,22,537,20.0,180
2020-03-22,galicia,Galicia,John Hopkins University,1208,18,0,62,293,6,0,12,284,3.0,43,1171,19.0,270,0.32021857923497277,0.5,,0.24,0.32018038331454335,0.1875,0.18942731277533031,915,12,0,50,887,16.0,227
2020-03-22,madrid,Madrid,John Hopkins University,18900,1263,0,942,1503,242,0,108,1097,164.0,1120,15574,2063.0,9561,0.08639420589756863,0.23702252693437798,,0.12949640287769792,0.07577536782482563,0.08636124275934698,0.1326857007463571,17397,1021,0,834,14477,1899.0,8441
2020-03-22,andalucia,Andalucía,John Hopkins University,1961,58,0,77,236,11,0,22,213,12.0,141,1853,50.0,865,0.13681159420289846,0.23404255319148937,,0.3999999999999999,0.1298780487804878,0.3157894736842106,0.19475138121546953,1725,47,0,55,1640,38.0,724
2020-03-22,castilla_y_leon,Castilla y León,John Hopkins University,2055,102,0,130,311,28,0,19,255,28.0,179,1836,117.0,977,0.17832568807339455,0.3783783783783783,,0.1711711711711712,0.16129032258064524,0.3146067415730338,0.2243107769423558,1744,74,0,111,1581,89.0,798
2020-03-22,ceuta,Ceuta,John Hopkins University,6,0,0,0,1,0,0,0,1,,0,6,,0,0.19999999999999996,,,,0.19999999999999996,,,5,0,0,0,5,,0
2020-03-22,aragon,Aragón,John Hopkins University,638,32,0,52,106,8,0,7,71,27.0,57,576,30.0,298,0.1992481203007519,0.33333333333333326,,0.15555555555555545,0.1405940594059405,9.0,0.2365145228215768,532,24,0,45,505,3.0,241
2020-03-22,pais_vasco,País Vasco,John Hopkins University,2421,120,0,92,324,23,0,11,234,67.0,264,2018,283.0,1252,0.15450643776824036,0.23711340206185572,,0.1358024691358024,0.1311659192825112,0.3101851851851851,0.2672064777327936,2097,97,0,81,1784,216.0,988
2020-03-22,la_rioja,La Rioja,John Hopkins University,747,22,0,22,93,4,0,5,89,,32,707,18.0,166,0.14220183486238525,0.22222222222222232,,0.2941176470588236,0.14401294498381878,,0.23880597014925375,654,18,0,17,618,18.0,134
2020-03-22,extremadura,Extremadura,John Hopkins University,493,18,0,13,109,4,0,5,105,,44,467,8.0,131,0.28385416666666674,0.2857142857142858,,0.625,0.2900552486187846,,0.5057471264367817,384,14,0,8,362,8.0,87
2020-03-22,cantabria,Cantabria,John Hopkins University,347,6,0,14,65,1,0,5,64,,41,330,11.0,157,0.23049645390070927,0.19999999999999996,,0.5555555555555556,0.24060150375939848,,0.35344827586206895,282,5,0,9,266,11.0,116
2020-03-23,castilla-la_mancha,Castilla-La Mancha,John Hopkins University,2465,216,0,182,387,71,0,40,314.0,2.0,279,2196,53.0,1826,0.1862367661212705,0.4896551724137932,,0.2816901408450705,0.16684378320935167,0.03921568627450989,0.1803490627020039,2078,145,0,142,1882,51.0,1547
2020-03-23,navarra,Navarra,John Hopkins University,1014,31,0,45,128,7,0,5,117.0,4.0,66,972,11.0,405,0.14446952595936802,0.29166666666666674,,0.125,0.13684210526315788,0.5714285714285714,0.19469026548672574,886,24,0,40,855,7.0,339
2020-03-23,melilla,Melilla,John Hopkins University,28,0,0,1,0,0,0,0,,,0,28,,12,0.0,,,0.0,,,0.0,28,0,0,1,28,,12
2020-03-23,canarias,Canarias,John Hopkins University,557,16,0,36,76,5,0,4,70.0,1.0,35,533,8.0,207,0.158004158004158,0.4545454545454546,,0.125,0.1511879049676026,0.1428571428571428,0.20348837209302317,481,11,0,32,463,7.0,172
2020-03-23,baleares,Baleares,John Hopkins University,478,10,0,35,78,0,0,8,77.0,1.0,40,449,19.0,127,0.19500000000000006,0.0,,0.2962962962962963,0.206989247311828,0.05555555555555558,0.45977011494252884,400,10,0,27,372,18.0,87
2020-03-23,murcia,Murcia,John Hopkins University,385,3,0,26,40,1,0,3,39.0,,19,381,1.0,99,0.11594202898550732,0.5,,0.13043478260869557,0.11403508771929816,,0.23750000000000004,345,2,0,23,342,1.0,80
2020-03-23,cataluna,Cataluña,John Hopkins University,7864,293,0,471,2117,94,0,163,1794.0,229.0,1051,6940,631.0,3209,0.36836610405428916,0.4723618090452262,,0.5292207792207793,0.348620287602021,0.5696517412935322,0.4870250231696014,5747,199,0,308,5146,402.0,2158
2020-03-23,c_valenciana,C. Valenciana,John Hopkins University,2167,115,0,222,266,21,0,41,244.0,1.0,251,2015,37.0,1562,0.13992635455023672,0.22340425531914887,,0.22651933701657456,0.13777526821005082,0.02777777777777768,0.19145690312738362,1901,94,0,181,1771,36.0,1311
2020-03-23,asturias,Asturias,John Hopkins University,754,26,0,29,133,4,0,4,120.0,9.0,41,698,30.0,251,0.21417069243156206,0.18181818181818188,,0.15999999999999992,0.20761245674740492,0.4285714285714286,0.1952380952380952,621,22,0,25,578,21.0,210
2020-03-23,galicia,Galicia,John Hopkins University,1415,20,0,78,207,2,0,16,205.0,,68,1376,19.0,338,0.17135761589403975,0.11111111111111116,,0.25806451612903225,0.17506404782237395,,0.25185185185185177,1208,18,0,62,1171,19.0,270
2020-03-23,madrid,Madrid,John Hopkins University,21569,1535,0,1050,2669,272,0,108,2169.0,228.0,882,17743,2291.0,10443,0.14121693121693113,0.21536025336500386,,0.1146496815286624,0.1392705791704123,0.11051866214251094,0.09224976466896773,18900,1263,0,942,15574,2063.0,9561
2020-03-23,andalucia,Andalucía,John Hopkins University,2470,87,0,102,509,29,0,25,464.0,16.0,267,2317,66.0,1132,0.2595614482406936,0.5,,0.3246753246753247,0.25040474905558563,0.32000000000000006,0.3086705202312139,1961,58,0,77,1853,50.0,865
2020-03-23,castilla_y_leon,Castilla y León,John Hopkins University,2460,124,0,151,405,22,0,21,360.0,23.0,220,2196,140.0,1197,0.197080291970803,0.21568627450980382,,0.16153846153846163,0.196078431372549,0.19658119658119655,0.22517911975435,2055,102,0,130,1836,117.0,977
2020-03-23,ceuta,Ceuta,John Hopkins University,6,0,0,0,0,0,0,0,,,0,6,,0,0.0,,,,,,,6,0,0,0,6,,0
2020-03-23,aragon,Aragón,John Hopkins University,758,37,0,66,120,5,0,14,115.0,,86,691,30.0,384,0.18808777429467094,0.15625,,0.26923076923076916,0.19965277777777768,,0.28859060402684555,638,32,0,52,576,30.0,298
2020-03-23,pais_vasco,País Vasco,John Hopkins University,2728,133,0,106,307,13,0,14,233.0,61.0,173,2251,344.0,1425,0.12680710450227184,0.10833333333333339,,0.15217391304347827,0.11546085232903858,0.215547703180212,0.13817891373801916,2421,120,0,92,2018,283.0,1252
2020-03-23,la_rioja,La Rioja,John Hopkins University,802,30,0,24,55,8,0,2,41.0,6.0,40,748,24.0,206,0.07362784471218209,0.36363636363636354,,0.09090909090909083,0.057991513437057884,0.33333333333333326,0.24096385542168686,747,22,0,22,707,18.0,166
2020-03-23,extremadura,Extremadura,John Hopkins University,636,26,0,20,143,8,0,7,133.0,2.0,30,602,8.0,161,0.2900608519269776,0.4444444444444444,,0.5384615384615385,0.28358208955223874,0.33333333333333326,0.2290076335877862,493,18,0,13,469,6.0,131
2020-03-23,cantabria,Cantabria,John Hopkins University,425,9,0,16,78,3,0,2,74.0,1.0,43,404,12.0,200,0.2247838616714697,0.5,,0.1428571428571428,0.22424242424242413,0.09090909090909083,0.2738853503184713,347,6,0,14,330,11.0,157
2020-03-24,castilla-la_mancha,Castilla-La Mancha,John Hopkins University,2780,263,0,210,315,47,0,28,250,18.0,336,2446,71.0,2162,0.12778904665314395,0.21759259259259256,,0.15384615384615374,0.11384335154826952,0.3396226415094339,0.18400876232201524,2465,216,0,182,2196,53.0,1826
2020-03-24,navarra,Navarra,John Hopkins University,1197,33,0,51,183,2,0,6,169,12.0,101,1141,23.0,506,0.180473372781065,0.06451612903225801,,0.1333333333333333,0.1738683127572016,1.0909090909090908,0.24938271604938267,1014,31,0,45,972,11.0,405
2020-03-24,melilla,Melilla,John Hopkins University,38,0,0,2,10,0,0,1,10,,2,38,,14,0.3571428571428572,,,1.0,0.3571428571428572,,0.16666666666666674,28,0,0,1,28,,12
2020-03-24,canarias,Canarias,John Hopkins University,657,21,0,43,100,5,0,7,88,7.0,28,621,15.0,235,0.17953321364452424,0.3125,,0.19444444444444442,0.1651031894934334,0.875,0.13526570048309172,557,16,0,36,533,8.0,207
2020-03-24,baleares,Baleares,John Hopkins University,562,13,0,40,84,3,0,5,72,9.0,37,521,28.0,164,0.17573221757322166,0.30000000000000004,,0.1428571428571428,0.16035634743875282,0.4736842105263157,0.2913385826771653,478,10,0,35,449,19.0,127
2020-03-24,murcia,Murcia,John Hopkins University,477,5,0,33,92,2,0,7,87,3.0,28,468,4.0,127,0.23896103896103904,0.6666666666666667,,0.26923076923076916,0.22834645669291342,3.0,0.2828282828282829,385,3,0,26,381,1.0,99
2020-03-24,cataluna,Cataluña,John Hopkins University,9937,385,0,713,2073,92,0,242,1651,330.0,1140,8591,961.0,4349,0.26360630722278744,0.31399317406143346,,0.5138004246284502,0.23789625360230549,0.5229793977812995,0.35525085696478653,7864,293,0,471,6940,631.0,3209
2020-03-24,c_valenciana,C. Valenciana,John Hopkins University,2616,143,0,255,449,28,0,33,414,7.0,280,2429,44.0,1842,0.20719889247808032,0.24347826086956514,,0.14864864864864868,0.20545905707196033,0.18918918918918926,0.1792573623559539,2167,115,0,222,2015,37.0,1562
2020-03-24,asturias,Asturias,John Hopkins University,812,29,0,39,58,3,0,10,50,5.0,30,748,35.0,281,0.07692307692307687,0.11538461538461542,,0.3448275862068966,0.07163323782234965,0.16666666666666674,0.1195219123505975,754,26,0,29,698,30.0,251
2020-03-24,galicia,Galicia,John Hopkins University,1653,27,0,100,238,7,0,22,225,6.0,74,1601,25.0,412,0.1681978798586572,0.3500000000000001,,0.28205128205128216,0.16351744186046502,0.3157894736842106,0.21893491124260356,1415,20,0,78,1376,19.0,338
2020-03-24,madrid,Madrid,John Hopkins University,24475,1825,0,1150,2906,290,0,100,1876,740.0,710,19619,3031.0,11153,0.1347304001112708,0.18892508143322484,,0.09523809523809534,0.1057318379079073,0.3230030554343082,0.06798812601742799,21569,1535,0,1050,17743,2291.0,10443
2020-03-24,andalucia,Andalucía,John Hopkins University,3008,113,0,116,538,26,0,14,507,5.0,301,2824,71.0,1433,0.21781376518218631,0.29885057471264376,,0.13725490196078427,0.21881743634009498,0.07575757575757569,0.26590106007067127,2470,87,0,102,2317,66.0,1132
2020-03-24,castilla_y_leon,Castilla y León,John Hopkins University,2940,165,0,179,480,41,0,28,366,73.0,260,2562,213.0,1457,0.19512195121951215,0.3306451612903225,,0.185430463576159,0.16666666666666674,0.5214285714285714,0.2172096908939014,2460,124,0,151,2196,140.0,1197
2020-03-24,ceuta,Ceuta,John Hopkins University,9,0,0,1,3,0,0,1,3,,2,9,,2,0.5,,,,0.5,,,6,0,0,0,6,,0
2020-03-24,aragon,Aragón,John Hopkins University,907,40,0,75,149,3,0,9,145,1.0,75,863,4.0,459,0.19656992084432723,0.08108108108108114,,0.13636363636363646,0.20194986072423404,0.33333333333333326,0.1953125,758,37,0,66,718,3.0,384
2020-03-24,pais_vasco,País Vasco,John Hopkins University,3271,155,0,119,543,22,0,13,399,122.0,152,2650,466.0,1577,0.1990469208211143,0.16541353383458657,,0.12264150943396235,0.17725455353176356,0.35465116279069764,0.10666666666666669,2728,133,0,106,2251,344.0,1425
