Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Total Nacional;65 y más años;2020;19,58
01 Andalucía;65 y más años;2020;17,41
02 Aragón;65 y más años;2020;21,73
03 Asturias, Principado de;65 y más años;2020;26,09
04 Balears, Illes;65 y más años;2020;15,97
05 Canarias;65 y más años;2020;16,54
06 Cantabria;65 y más años;2020;22,29
07 Castilla y León;65 y más años;2020;25,51
08 Castilla - La Mancha;65 y más años;2020;19,08
09 Cataluña;65 y más años;2020;19,22
10 Comunitat Valenciana;65 y más años;2020;19,67
11 Extremadura;65 y más años;2020;20,89
12 Galicia;65 y más años;2020;25,44
13 Madrid, Comunidad de;65 y más años;2020;17,98
14 Murcia, Región de;65 y más años;2020;15,89
15 Navarra, Comunidad Foral de;65 y más años;2020;19,96
16 País Vasco;65 y más años;2020;22,84
17 Rioja, La;65 y más años;2020;21,27
18 Ceuta;65 y más años;2020;12,42
19 Melilla;65 y más años;2020;11,09
