Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
Total;Total;2020;47.450.795
01 Andalucía;Total;2020;8.464.411
02 Aragón;Total;2020;1.329.391
03 Asturias, Principado de;Total;2020;1.018.784
04 Balears, Illes;Total;2020;1.171.543
05 Canarias;Total;2020;2.175.952
06 Cantabria;Total;2020;582.905
07 Castilla y León;Total;2020;2.394.918
08 Castilla - La Mancha;Total;2020;2.045.221
09 Cataluña;Total;2020;7.780.479
10 Comunitat Valenciana;Total;2020;5.057.353
11 Extremadura;Total;2020;1.063.987
12 Galicia;Total;2020;2.701.819
13 Madrid, Comunidad de;Total;2020;6.779.888
14 Murcia, Región de;Total;2020;1.511.251
15 Navarra, Comunidad Foral de;Total;2020;661.197
16 País Vasco;Total;2020;2.220.504
17 Rioja, La;Total;2020;319.914
18 Ceuta;Total;2020;84.202
19 Melilla;Total;2020;87.076
